rbd;dvrbd;nom_rbd;cod_reg_rbd;nom_reg_rbd;cod_pro_rbd;nom_pro_rbd;cod_com_rbd;nom_com_rbd;cod_deprov_rbd;nom_deprov_rbd;cod_depe1;cod_depe2;cod_grupo;cod_rural_rbd;nalu_lect2m_rbd;nalu_mate2m_rbd;prom_lect2m_rbd;prom_mate2m_rbd;dif_lect2m_rbd;dif_mate2m_rbd;difgru_lect2m_rbd;difgru_mate2m_rbd;sigdif_lect2m_rbd;sigdif_mate2m_rbd;siggru_lect2m_rbd;siggru_mate2m_rbd;marca_lect2m_rbd;marca_mate2m_rbd;marcadif_lect2m_rbd;marcadif_mate2m_rbd;palu_eda_ins_lect2m_rbd;palu_eda_ele_lect2m_rbd;palu_eda_ade_lect2m_rbd;palu_eda_ins_mate2m_rbd;palu_eda_ele_mate2m_rbd;palu_eda_ade_mate2m_rbd;noaplica;fecha_bbdd;codigo_bbdd;grado;agno
4925;5;LICEO NUEVA ZELANDIA;8;DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;83;Concepcion;2;1;1;1;102;103;224;243;-3;8;-3;16;0;0;0;1;;;;;65.7;25.5;8.8;59.2;34.0;6.8;0;20240418;final20240418v1;2m;2023
14606;4;COLEGIO PUERTO PAZ;5;DE VALPARAÍSO;51;VALPARAÍSO;5101;VALPARAÍSO;53;Valparaiso - Isla de Pascua;3;2;2;1;15;14;249;249;10;5;9;5;0;0;0;0;;;;;46.7;40.0;13.3;50.0;35.7;14.3;0;20240418;final20240418v1;2m;2023
30003;9;COLEGIO JUAN PABLO II;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;151;Arica;3;2;3;1;69;65;244;262;-8;21;-12;-2;0;1;-1;0;;;;;53.6;36.2;10.1;46.2;32.3;21.5;0;20240418;final20240418v1;2m;2023
25675;7;COLEGIO PART. CORAZON DE MARIA DE SAN MIGUEL;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13130;SAN MIGUEL;131;Centro;4;3;5;1;74;74;283;296;15;11;-3;-27;1;0;0;-1;;;;;21.6;33.8;44.6;27.0;33.8;39.2;0;20240418;final20240418v1;2m;2023
199;6;LICEO DOMINGO LATRILLE LASTAUNOU;2;DE ANTOFAGASTA;23;TOCOPILLA;2301;TOCOPILLA;21;Antofagasta;2;1;2;1;103;102;228;218;8;11;-12;-26;0;0;-1;-1;;;;;65.0;24.3;10.7;74.5;20.6;4.9;0;20240418;final20240418v1;2m;2023
448;0;LICEO PEDRO TRONCOSO MACHUCA;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;32;Huasco - Vallenar;6;4;2;1;172;175;247;257;11;24;7;13;1;1;1;1;;;;;50.0;29.7;20.3;51.4;32.6;16.0;0;20240418;final20240418v1;2m;2023
2612;3;LICEO SAN JOSE DEL CARMEN;6;DEL LIBERTADOR BERNARDO OHIGGINS;63;COLCHAGUA;6306;PALMILLA;62;Colchagua;2;1;1;2;43;43;239;221;21;-13;12;-6;1;0;1;0;;;;;60.5;30.2;9.3;69.8;30.2;0.0;0;20240418;final20240418v1;2m;2023
1971;2;ESCUELA MANUEL MONTT;5;DE VALPARAÍSO;58;MARGA MARGA;5804;VILLA ALEMANA;53;Valparaiso - Isla de Pascua;1;1;2;1;19;21;236;231;26;10;-4;-13;1;0;0;0;;;;;47.4;42.1;10.5;71.4;23.8;4.8;0;20240418;final20240418v1;2m;2023
8463;8;THE BRITISH SCHOOL;12;DE MAGALLANES Y DE LA ANTÁRTICA CHILENA;121;MAGALLANES;12101;PUNTA ARENAS;121;Magallanes;4;3;5;1;30;30;288;314;;;2;-9;;;0;-1;;;1;1;23.3;30.0;46.7;3.3;60.0;36.7;0;20240418;final20240418v1;2m;2023
8506;5;INSTITUTO COMERCIAL ELIODORO DOMINGUEZ DOMINGUEZ;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13101;SANTIAGO;131;Centro;5;2;2;1;178;187;247;259;-3;7;7;15;0;0;1;1;;;;;47.2;36.0;16.9;49.2;36.4;14.4;0;20240418;final20240418v1;2m;2023
